name,price,link
i5-6500 Intel Core  3.20GHz Quad Core CPU PC 6th Gen. Processor SR2L6 LGA1151 ,$29.99,https://www.ebay.com/itm/134589741248?epid=17031090432&hash=item1f562c78c0:g:U3YAAOSwX~hei2hE&amdata=enc%3AAQAIAAAA0A%2BPfQxZgW%2FJiXFSnAgVEEy9hTurrUGYnvCsozV6U903MiyXcq7roN36K3QpuJX9APSfkbMUaDldGPHnUyKEiFhIAplWygOfCtHrjmCSQ8zHABiSIPD4V8CoI2o9RjwNMzid7z53Qg1sMDGxXblyZd%2FsFSKNbhnCuEFbPOebWeJHtWcodEPSCZu628%2FbVICyzDPEqDaey1lyeWsixu7dhrQ%2B8sfnvdpaJY7uKimNCcUoVqhNnFW%2FxmGqMkOVfDFHT0JAWVdZe7VTq3WJ7GFUOOw%3D%7Ctkp%3ABk9SR6KLsraOYg
AMD Ryzen 5 5600 6-Core 12-Thread Processor with Wraith Stealth Cooler Unopened,$119.99,https://www.ebay.com/itm/364280336828?epid=15053345155&hash=item54d0ccd1bc:g:KisAAOSwobJkdgf2&amdata=enc%3AAQAIAAAA0EAldrhj%2Bsjkw6V0%2Fro%2FmFtWQQFsx3ECIf4obdtofRi9Axq0qt%2FyPVMsjuSvXxolKrZgtLUrt5VJysp8cBJocZyt92eymrBaBOFHyi4XmPUnjLjwl6gzXbywCS9IXmu%2BY7zQAcI3ZfBc3mN3WekEEduJ4Yd25cpUgE2m78SLHGTK%2F%2FVjng8YaojJ8SmDKPdUadtuIqqfr1x8Y4GUH%2FzJuUuyT2lpcraOPQz3r0eSRVHVroR0urf%2Bpm7sGstYBZ94sjVxInXzL9%2FdgnooUE0FzRU%3D%7Ctkp%3ABk9SR6KLsraOYg
AMD Athlon 800 900 1000 1200 1333 1400 XP 1600 1700 2100 2200 2500 Vintage CPU,$4.95 to $13.95,https://www.ebay.com/itm/255076607539?hash=item3b63c02633:g:6OAAAOSwEmFhCXKs&amdata=enc%3AAQAIAAAA0ApDOlYIv75AYbmLWnKxcKJpgCfPjixVsp6RHNMu6bwvoeSY3UJtBAFhDI6dwkbfRS%2BGqqdKpqxAfwILaFf6fcKUzO2ZervA6XgD8W5BaDxlwI2jUUeuwaCvWdzDy1ppxf%2F1eOW8ODX8rnokgZLXFMGlZAYJbzaiY%2F1%2FRNwwBo%2BAL0BS22tIm7dN9e97tbLBaRmPL8kQlMguYViOMDGONYQbsNKYX0L1T0VzE%2FSqlPLxsfv0Z1ASjsBq9a%2FatRL9mMOowDvACV8M%2BhX9yNf%2BXQ4%3D%7Ctkp%3ABk9SR6SLsraOYg
Intel Xeon E5-2697 V2 2.7GHz 12 Core 30M LGA2011 130W SR19H CPU Processor,$31.00,https://www.ebay.com/itm/132907463163?hash=item1ef1e6f1fb:g:k3UAAOSwgrZcLkHq&amdata=enc%3AAQAIAAAA0Dsg2uQUMqZ8YUX25TIZ1wNFmPWzj2f2BUo2baOXtjRFlZ8omdndz8Ui%2Bg3aP%2BdGUlrbtkaDUISqVBHQKIDskfTEXOeUm8GdC1FUxUOfsHDyQqh7pHBEoU4p0uocd3XvqL0sFSLUKgeBTOBtmgrm1YYa1BsNqrahhU%2FKCv6%2BJrcLad78UF7CL65%2BCy3hdoPn%2B%2FBPpvO0sG%2F62XGtBrE2Ztm44HPi5I1khs4edZlWvys9mQl%2FEcW8mmG7d0po961iTWD5HaESXijZVqlLChAqDfo%3D%7Ctkp%3ABFBMpIuyto5i
Intel Core  i9-9900K  -  3.6GHz iCore / SRG19 Processor,$331.25,https://www.ebay.com/itm/115806310722?epid=11035157601&hash=item1af6981142:g:9ngAAOSwRllkId43&amdata=enc%3AAQAIAAAA0AsSNomMzEYAbCVehPVX2BpbR%2FnYj5WhIOrm5yUTBlV0f0XPsV0zqKXqMeQWO8PtF7VeiD9V5p3XkbiBEqmmoEvTJyAud1%2FwTk%2F8xZHwBeo2ta3D7ay%2ByV3HFRoaimyYfQvEzv%2BdnAZD1lH%2FEqXXhf8qX5%2FgJ1etdSRe07v2WS2CjgQdErL1kyk4wnscWdl8mR9Owtxo%2Bz26ZeYoz%2Bt8N12G%2FAUQJx4IqLPoIbC98oyYuLHFgVVLRpodyu0pqkWNPFADLE1kMqoOgaqZBqj0DCM%3D%7Ctkp%3ABk9SR6SLsraOYg
Intel Core 2 Duo T9600 SLG9F 2.80GHz 6MB Cache 1066MHz CPU Processor,$9.70,https://www.ebay.com/itm/263570992244?epid=74100108&hash=item3d5e0e2c74:g:AOoAAOSw1S9WesBP&amdata=enc%3AAQAIAAAAsKuDY0HXs05Sb8pJBN7YbVfRWpzhoI0qDBKgXABsblqj5yy05sftwZ%2FycpYScHmk9iAKPWl%2FDCoonYzi6R1B2vjrsY4p%2FYeeE71TCvObCm9%2F4HgdwUdeUINPXRl07KVXCt0GevQEvvqabtLK8y8UmNqzZ7unevbMS26Q%2BadTn%2BvTCTJH6WV6ix%2BPL3VBYMbnxDb18LJjWNykb5gYRRNSaiXS60cYlSKdSNuOHtkJXBpH%7Ctkp%3ABk9SR6SLsraOYg
AMD Ryzen 7 5700X 8-Core 3.4GHz Socket AM4 65W CPU Desktop Processor,$160.50,https://www.ebay.com/itm/304956835961?epid=19053331362&hash=item4700d80879:g:glYAAOSwkF5joiBC&amdata=enc%3AAQAIAAAA0I1ld%2FCqThycdZ8aOh2Yr%2FuatP%2BARXql3tIXcy9r%2BHoYHPJrqukf3H75heb0JBpRaGU0qp90zElT1PGSSaYfaqEBiv3bqFCSCAziuh65b0LcWepiPLGdrVpxx7Z0tX8id%2FLR7lnJZWyoEeb0fo48qb0zAHpC0Zy2wMOU9G%2B6is21z4nMsSh9Pqy4DPXk3gTtCkzUXuZj1RrrEJnfMzc0njg9tZow%2BPaI0I9vmBfjZviiKNevBrGQkR308q79N%2BiiV8cM6MFebBlkYX2M2TsNenY%3D%7Ctkp%3ABk9SR6SLsraOYg
NEW Intel i7-11700F 2.5GHz 16MB L3 8 Cores CPU LGA1200 TRAY VERSION SRKNR,$177.06,https://www.ebay.com/itm/304802984872?hash=item46f7ac73a8:g:EKUAAOSwEOFhKSEu&amdata=enc%3AAQAIAAAA0FcK1Q%2FabsZKRLLst3sV7FfZpgVuNftZuuyRA3GRoz8bj%2F64G2kpwf%2FeouQeMek5mBW2MVl9g2S8m8kS%2B51p6CuKK2oMzRSWNfIh1neHqFEYBGs2WmZMrWb8qsfe11pvWvQa2JJuy44BkDTioGqfkn7kPQATOhgGQDmuxDtFdRZOPD8J83DFj626uYEMDvi2vbodOGBmUmiFzqzfXIKh9K11x6HQ1XpNinVx%2BcN%2Bbl2aZhOR1VlJM6cN9ASguWPp%2FNhCwtYTm0jSBiZ5LIdjHQA%3D%7Ctkp%3ABk9SR6SLsraOYg
Intel Core i5 Gen 11 I5-11400 2.60 GHz Rocket Lake SRKP0 FCLGA1200 CPU GRADE A,$113.99,https://www.ebay.com/itm/166126841099?epid=12051632271&hash=item26adee6d0b:g:LE0AAOSwFaRkcRXf&amdata=enc%3AAQAIAAAA0OV5T9lUnuwPglZpIb80w7GCWyDoAwRccpPiDTj1R2YGLPoRMD%2Fxq4k8m8nynYvGYKsrsO9H%2FnWguIkjIDAJbtDzex4Ds87qIA64lE0uzyYBa%2BwDtq%2BmyR0x7gLm1xFGo%2BUXIv3r3yT5%2FzY%2FVefD6Wg0GYm7TZlnHnwdQMyJVV0EbmFNdcp95C0bojDGLFL%2FDAhJJsS4UbKNtHdb1gf0Uz1eiIJzN5ZVpQHHUXWCgg3v0uIuOH%2B5yGMtsFtgqSu55dZ5%2FAuOnRzqLB%2BqjVY%2F4Ls%3D%7Ctkp%3ABk9SR6SLsraOYg
"AMD Ryzen 7 5700G Processor 4.6 GHz, 8 Cores Socket AM4 Tray 100-000000263",$138.56,https://www.ebay.com/itm/304796994462?epid=23046151179&hash=item46f7510b9e:g:bo0AAOSwsJdijjzK&amdata=enc%3AAQAIAAAA0Jh2Yr27fRqYKNBWdf31jb%2FD533Wf8nQtHnxza2R%2FBDDPAa9JMfvyyLHyxb8Saj10g4BSG3kk8AmNXpAMFu3yUoYHrPc0CZcxFN6Q2xQVuX533Ug3wCkTgFjjsLBjg5zYOra3gE1whnU2%2BGIPIQcE7nWlpmYp4ur9PrwYl7uvCllZSiRaUbPxGm2DaGREiKEm0sxzEHCgWTwaTtQ71G2in0oF%2B6xIo4NRS383WV2%2Baug4eTPAwTWB7LGVNWNlw5aCjRbHD4HPZyvVakcQHrAWLY%3D%7Ctkp%3ABk9SR6SLsraOYg
